Date,Open,High,Low,Close,Adj Close,Volume
01/04/2013,1428.290039,1432.369995,1334.52002,1386.689941,1386.689941,0
01/05/2013,1377.449951,1449.619995,1343.98999,1343.98999,1343.98999,0
01/06/2013,1337.52002,1345.47998,1279.550049,1331.23999,1331.23999,0
01/07/2013,1334.439941,1432.810059,1332.26001,1377.599976,1377.599976,0
01/08/2013,1398.75,1424.170044,1359.97998,1364.540039,1364.540039,0
01/09/2013,1366.98999,1487.810059,1366.98999,1463.130005,1463.130005,0
01/10/2013,1472.449951,1538.140015,1452.26001,1509.619995,1509.619995,0
01/11/2013,1515.150024,1517.619995,1466.819946,1479.780029,1479.780029,0
01/12/2013,1473.560059,1508.189941,1428.140015,1503.390015,1503.390015,0
01/01/2014,1465.98999,1503.599976,1453.550049,1454.050049,1454.050049,0
01/02/2014,1442.52002,1518.119995,1429.280029,1444.709961,1444.709961,0
01/03/2014,1438.02002,1438.02002,1182.890015,1369.290039,1369.290039,0
01/04/2014,1369.319946,1388,1260.430054,1306.01001,1306.01001,0
01/05/2014,1304.930054,1456.660034,1289.800049,1432.030029,1432.030029,0
01/06/2014,1432.670044,1519.040039,1432.670044,1476.380005,1476.380005,0
01/07/2014,1476.280029,1531.98999,1356.640015,1379.609985,1379.609985,0
01/08/2014,1378.030029,1469.400024,1306.869995,1400.709961,1400.709961,0
01/09/2014,1401.339966,1483.599976,1386.410034,1411.069946,1411.069946,0
01/10/2014,1410.329956,1488.469971,1354.699951,1488.469971,1488.469971,0
01/11/2014,1488.150024,1548.119995,1471.290039,1533.680054,1533.680054,0
01/12/2014,1532.890015,1623,1309.819946,1449.130005,1449.130005,0
01/01/2015,1563.209961,1706.290039,1553.73999,1647.689941,1647.689941,0
01/02/2015,1647.73999,1848.130005,1616.319946,1758.969971,1758.969971,0
01/03/2015,1759.25,1825.73999,1569.689941,1626.180054,1626.180054,0
01/04/2015,1625.209961,1712.869995,1613.829956,1688.339966,1688.339966,0
01/05/2015,1689.550049,1734.329956,1609.189941,1609.189941,1609.189941,0
01/06/2015,1610.069946,1679.410034,1610.069946,1654.550049,1654.550049,0
01/07/2015,1654.569946,1669,1570.459961,1669,1669,0
01/08/2015,1668.130005,1733.170044,1603.719971,1733.170044,1733.170044,0
01/09/2015,1705.810059,1740.219971,1606.829956,1642.969971,1642.969971,0
01/10/2015,1644.52002,1746.670044,1603.47998,1711.530029,1711.530029,0
01/11/2015,1710.900024,1873.530029,1701.25,1771.050049,1771.050049,0
01/12/2015,1771.050049,1798.810059,1698.930054,1761.359985,1761.359985,0
01/01/2016,1761.420044,1788.079956,1583.040039,1784.920044,1784.920044,0
01/02/2016,1785.01001,1841.560059,1688.130005,1840.170044,1840.170044,0
01/03/2016,1841.430054,1923.5,1825.98999,1871.150024,1871.150024,0
01/04/2016,1860.530029,1976.689941,1833.609985,1953.050049,1953.050049,0
01/05/2016,1932.920044,1957.180054,1861.640015,1899.01001,1899.01001,0
01/06/2016,1899.140015,1960.75,1841.72998,1891.089966,1891.089966,0
01/07/2016,1891.030029,1959.859985,1860.550049,1944.619995,1944.619995,0
01/08/2016,1950.48999,1999.140015,1902.73999,1971.589966,1971.589966,0
01/09/2016,1976.26001,2063.129883,1967.310059,1978,1978,0
01/10/2016,1981.02002,2006.660034,1946.780029,1989.640015,1989.640015,0
01/11/2016,1991.699951,2116.379883,1939.660034,2104.909912,2104.909912,0
01/12/2016,2110.689941,2258.100098,2110.689941,2232.719971,2232.719971,0
01/01/2017,2237.080078,2293.98999,2136.350098,2217.389893,2217.389893,0
01/02/2017,2219.189941,2236.800049,2027.050049,2035.77002,2035.77002,0
01/03/2017,2034.280029,2076.709961,1965.22998,1995.900024,1995.900024,0
01/04/2017,1998.550049,2058.110107,1900.719971,2016.709961,2016.709961,0
01/05/2017,2022.189941,2044.23999,1893.390015,1900.380005,1900.380005,0
01/06/2017,1900.890015,1904.819946,1774.560059,1879.5,1879.5,0
01/07/2017,1886.719971,1972.48999,1881.97998,1919.530029,1919.530029,0
01/08/2017,1924.77002,2030.859985,1921.339966,2022.219971,2022.219971,0
01/09/2017,2021.930054,2086.649902,1992.680054,2077.189941,2077.189941,0
01/10/2017,2077.159912,2106.48999,2038.26001,2064.310059,2064.310059,0
01/11/2017,2070.679932,2191.709961,2065.689941,2100.620117,2100.620117,0
01/12/2017,2102.540039,2160.75,2082.290039,2109.73999,2109.73999,0
01/01/2018,2111.23999,2328.47998,2111.23999,2289.98999,2289.98999,0
01/02/2018,2292.219971,2376.959961,2181.959961,2296.800049,2296.800049,0
01/03/2018,2286.409912,2326.409912,2255.949951,2285.530029,2285.530029,0
01/04/2018,2264.73999,2302.540039,2065.320068,2301.48999,2301.48999,0
01/05/2018,2304.280029,2358.590088,2274.070068,2302.879883,2302.879883,0
01/06/2018,2297.129883,2329.030029,2192.629883,2295.949951,2295.949951,0
01/07/2018,2294.100098,2379.330078,2239.77002,2321.110107,2321.110107,0
01/08/2018,2317.830078,2359.580078,2240.709961,2345.850098,2345.850098,0
01/09/2018,2344.300049,2476.860107,2305.27002,2475.360107,2475.360107,0
01/10/2018,2481.449951,2501.780029,2275.580078,2352.709961,2352.709961,0
01/11/2018,2352.939941,2454.840088,2284.300049,2392.5,2392.5,0
01/12/2018,2405.179932,2449.919922,2291.97998,2358.5,2358.5,0
01/01/2019,2370.560059,2536.280029,2350.409912,2521.100098,2521.100098,0
01/02/2019,2520.080078,2551.969971,2448.409912,2485.27002,2485.27002,0
01/03/2019,2487.439941,2520.02002,2452.090088,2497.100098,2497.100098,0
01/04/2019,2498.72998,2599.580078,2498.72998,2559.320068,2559.320068,0
01/05/2019,2558.810059,2665.419922,2506.469971,2665.330078,2665.330078,0
01/06/2019,2660.639893,2790.590088,2649.780029,2765.850098,2765.850098,0
01/07/2019,2777.080078,2848.399902,2665.209961,2739.5,2739.5,0
01/08/2019,2727.679932,2740.040039,2615.199951,2740.040039,2740.040039,0
01/09/2019,2742.300049,2847.01001,2735.110107,2747.179932,2747.179932,0
01/10/2019,2749.830078,2936.26001,2686.149902,2893.97998,2893.97998,0
01/11/2019,2895.469971,3009.110107,2886.590088,2935.370117,2935.370117,0
01/12/2019,2937.689941,3060.199951,2875.5,3045.870117,3045.870117,0
01/01/2020,3059.199951,3226.889893,3057.360107,3076.649902,3076.649902,0
01/02/2020,3062.27002,3145.149902,2744.179932,2785.080078,2785.080078,0
01/03/2020,2829.469971,2875.300049,2073.870117,2508.810059,2508.810059,0
01/04/2020,2465.560059,2713.5,2431.97998,2650.560059,2650.560059,0
01/05/2020,2623.889893,2796.850098,2564.439941,2734.830078,2734.830078,0
01/06/2020,2761.22998,2835.060059,2670.409912,2743.199951,2743.199951,0
01/07/2020,2762.560059,2919.350098,2703.350098,2911.570068,2911.570068,0
01/08/2020,2917.679932,3090.419922,2911.189941,2966.199951,2966.199951,0
01/09/2020,2976.070068,3002.25,2857.780029,2905.810059,2905.810059,0
01/10/2020,2911.080078,2919.25,2664.439941,2690.590088,2690.590088,0
01/11/2020,2681.189941,3150.780029,2658.48999,3107.580078,3107.580078,0
01/12/2020,3113.060059,3318.389893,3113.060059,3289.02002,3289.02002,0
01/01/2021,3306.120117,3520.659912,3272.530029,3277.080078,3277.080078,0
01/02/2021,3287.959961,3510.77002,3268.52002,3346.639893,3346.639893,0
01/03/2021,3369.679932,3602.179932,3354.090088,3541.719971,3541.719971,0
01/04/2021,3556.280029,3627.909912,3460.389893,3544,3544,0
01/05/2021,3557.620117,3752.800049,3556.080078,3721.629883,3721.629883,0
01/06/2021,3739.570068,3865.199951,3739.570068,3841.850098,3841.850098,0
01/07/2021,3843.280029,3915,3679.439941,3771.580078,3771.580078,0
01/08/2021,3791.219971,3949.070068,3771.580078,3918.959961,3918.959961,0
01/09/2021,3924.320068,4112.310059,3918.959961,4103.52002,4103.52002,0
01/10/2021,4078.590088,4292.680176,4065.399902,4150,4150,0
01/11/2021,4155.240234,4245.319824,3776.610107,3890.590088,3890.590088,0
01/12/2021,3907.169922,3977.159912,3532.290039,3787.26001,3787.26001,0
01/01/2022,3825.300049,3892.330078,3158.459961,3530.379883,3530.379883,0
01/02/2022,3564.550049,3683.949951,1681.550049,2470.47998,2470.47998,0
01/03/2022,2474.52002,2761.169922,2363.620117,2703.51001,2703.51001,0
01/04/2022,2714.620117,2835.459961,2168.179932,2445.169922,2445.169922,0
01/05/2022,2444.25,2490.169922,2229.219971,2355.75,2355.75,0
01/06/2022,2349.840088,2419.810059,2184.709961,2204.850098,2204.850098,0
01/07/2022,2197.899902,2273.23999,2022.160034,2213.810059,2213.810059,0
01/08/2022,null,null,null,null,null,null
01/09/2022,null,null,null,null,null,null
01/10/2022,null,null,null,null,null,null
01/11/2022,null,null,null,null,null,null
