Date,Open,High,Low,Close
01/01/2018,34059.99,36443.98,33703.37,35965.02
01/02/2018,36048.99,36256.83,33482.81,34184.04
01/03/2018,34141.22,34278.63,32483.84,32968.68
01/04/2018,33030.87,35213.3,32972.56,35160.36
01/05/2018,35328.91,35993.53,34302.89,35322.38
01/06/2018,35373.98,35877.41,34784.68,35423.48
01/07/2018,35545.22,37644.59,35106.57,37606.58
01/08/2018,37643.87,38989.65,37128.99,38645.07
01/09/2018,38915.91,38934.35,35985.63,36227.14
01/10/2018,36274.25,36616.64,33291.58,34442.05
01/11/2018,34650.63,36389.22,34303.38,36194.3
01/12/2018,36396.69,36554.99,34426.29,36068.33
01/01/2019,36161.8,36701.03,35375.51,36256.69
01/02/2019,36311.74,37172.18,35287.16,35867.44
01/03/2019,36018.49,38748.54,35926.94,38672.91
01/04/2019,38858.88,39487.45,38460.25,39031.55
01/05/2019,39036.51,40124.96,36956.1,39714.2
01/06/2019,39806.86,40312.07,38870.96,39394.64
01/07/2019,39543.73,40032.41,37128.26,37481.12
01/08/2019,37387.18,37807.55,36102.35,37332.79
01/09/2019,37181.76,39441.12,35987.8,38667.33
01/10/2019,38813.48,40392.22,37415.83,40129.05
01/11/2019,40196.07,41163.79,40014.23,40793.81
01/12/2019,41072.94,41809.96,40135.37,41253.74
01/01/2020,41349.36,42273.87,40476.55,40723.49
01/02/2020,40753.18,41709.3,38219.97,38297.29
01/03/2020,38910.95,39083.17,25638.9,29468.49
01/04/2020,29505.33,33887.25,27500.79,33717.62
01/05/2020,32748.14,32845.48,29968.45,32424.1
01/06/2020,32906.05,35706.55,32348.1,34915.8
01/07/2020,35009.59,38617.03,34927.2,37606.89
01/08/2020,37595.73,40010.17,36911.23,38628.29
01/09/2020,38754,39359.51,36495.98,38067.93
01/10/2020,38410.2,41048.05,38410.2,39614.07
01/11/2020,39880.38,44825.37,39334.92,44149.72
01/12/2020,44435.83,47896.97,44118.1,47751.33
01/01/2021,47785.28,50184.01,46160.46,46285.77
01/02/2021,46617.95,52516.76,46433.65,49099.99
01/03/2021,49747.71,51821.84,48236.35,49509.15
01/04/2021,49868.53,50375.77,47204.5,48782.36
01/05/2021,48356.01,52013.22,48028.07,51937.44
01/06/2021,52067.51,53126.73,51450.58,52482.71
01/07/2021,52638.5,53290.81,51802.73,52586.84
01/08/2021,52901.28,57625.26,52804.08,57552.39
01/09/2021,57763.53,60412.32,57263.9,59126.36
01/10/2021,58889.77,62245.43,58551.14,59306.93
01/11/2021,59577.48,61036.56,56382.93,57064.87
01/12/2021,57365.85,59203.37,55132.68,58253.82
01/01/2022,58310.09,61475.15,56409.63,58014.17
01/02/2022,58672.86,59618.51,54383.2,56247.28
01/03/2022,55629.3,58890.92,52260.82,58568.51
01/04/2022,58530.73,60845.1,56009.07,57060.87
01/05/2022,56429.45,57184.21,52632.48,55566.41
01/06/2022,55588.27,56432.65,50921.22,53018.94
01/07/2022,52863.34,57619.27,52094.25,57570.25
01/08/2022,57823.1,60411.2,57367.47,59537.07
01/09/2022,58710.53,60676.12,56147.23,57426.92
01/10/2022,57403.92,60786.7,56683.4,60746.59
01/11/2022,61065.58,61289.73,60485.14,60950.36
